20,"Saturday, 11 August (1:45 pm) ",St Kilda 16.11 (107) ,def. ,Melbourne 12.10 (82) ,"MCG (crowd: 23,464) "
20,"Saturday, 11 August (1:40 pm) ",Adelaide 17.17 (119) ,def. ,Fremantle 14.7 (91) ,"AAMI Stadium (crowd: 35,027) "
20,"Saturday, 11 August (4:40 pm) ",Gold Coast 16.13 (109) ,def. ,Greater Western Sydney 12.7 (79) ,"Metricon Stadium (crowd: 14,657) "
20,"Saturday, 11 August (7:40 pm) ",Carlton 17.11 (113) ,def. ,Brisbane Lions 10.17 (77) ,"Etihad Stadium (crowd: 25,977) "
20,"Saturday, 11 August (7:40 pm) ",Sydney 9.16 (70) ,def. by ,Collingwood 12.6 (78) ,"ANZ Stadium (crowd: 45,827) "
20,"Sunday, 12 August (1:10 pm) ",Hawthorn 24.15 (159) ,def. ,Port Adelaide 13.9 (87) ,"Aurora Stadium (crowd: 14,431) "
20,"Sunday, 12 August (3:15 pm) ",Richmond 22.18 (150) ,def. ,Western Bulldogs 12.8 (80) ,"MCG (crowd: 28,286) "
20,"Sunday, 12 August (4:40 pm) ",Essendon 11.10 (76) ,def. by ,North Melbourne 15.10 (100) ,"Etihad Stadium (crowd: 42,674) "
,,,,,
21,"Friday, 17 August (7:50 pm) ",Geelong 18.15 (123) ,def. ,St Kilda 11.15 (81) ,"Etihad Stadium (crowd: 38,169) "
21,"Saturday, 18 August (1:45 pm) ",Essendon 8.12 (60) ,def. by ,Carlton 24.12 (156) ,"MCG (crowd: 59,381) "
21,"Saturday, 18 August (2:10 pm) ",Greater Western Sydney 9.5 (59) ,def. by ,Melbourne 11.18 (84) ,"Manuka Oval (crowd: 7,561) "
21,"Saturday, 18 August (2:40 pm) ",Fremantle 13.16 (94) ,def. ,Richmond 11.6 (72) ,"Patersons Stadium (crowd: 32,721) "
21,"Saturday, 18 August (7:40 pm) ",Brisbane Lions 13.17 (95) ,def. ,Adelaide 12.13 (85) ,"The Gabba (crowd: 18,979) "
21,"Saturday, 18 August (7:40 pm) ",Collingwood 8.13 (61) ,def. by ,North Melbourne 13.13 (91) ,"Etihad Stadium (crowd: 44,956) "
